鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
安定區,租賃房屋,臺南市安定區蘇厝１７６之１號 三樓之６,0.0,,,,1150425,土地0建物0車位0,一層,9,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1140911,22.88,2,0,2,有,有,有,11700,511,,0.0,0,多人共同承租2；租金總額含水費；網路費；租賃建物部分範圍，且未計入共有部分面積；,RPUQMLKLNHLGFHD09CC,分租套房,有,1150425~1160430,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般轉租
安定區,租賃房屋,臺南市安定區蘇厝１７６之１號 二樓之２,0.0,,,,1150428,土地0建物0車位0,一層,9,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1140911,20.7,2,0,2,有,有,有,10500,507,,0.0,0,租金總額含水費；網路費；租賃建物部分範圍，且未計入共有部分面積；,RPVQMLKLNHLGFHD56CC,分租套房,有,1150420~1160419,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般轉租
安定區,租賃房屋,臺南市安定區蘇厝１７６之１號 二樓之２,0.0,,,,1150428,土地0建物0車位0,一層,9,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1140911,20.7,2,0,2,有,有,有,10500,507,,0.0,0,租金總額含水費；網路費；租賃建物部分範圍，且未計入共有部分面積；,RPWQMLKLNHLGFHD66CC,分租套房,有,1150420~1160419,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般轉租
安定區,租賃房屋,臺南市安定區蘇厝１７６之１號 二樓之３,0.0,,,,1150428,土地0建物0車位0,一層,9,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1140911,20.7,2,0,2,有,有,有,10500,507,,0.0,0,租金總額含水費；網路費；租賃建物部分範圍，且未計入共有部分面積；,RPXQMLKLNHLGFHD76CC,分租套房,有,1150420~1160419,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般轉租
安定區,租賃房屋,臺南市安定區蘇厝１７６之１號 二樓之３,0.0,,,,1150428,土地0建物0車位0,一層,9,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1140911,20.7,2,0,2,有,有,有,10500,507,,0.0,0,租金總額含水費；網路費；租賃建物部分範圍，且未計入共有部分面積；,RPORMLKLNHLGFHD58CC,分租套房,有,1150420~1160419,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般轉租
安定區,租賃房屋,臺南市安定區蘇厝１７６之１號 三樓之３,0.0,,,,1150428,土地0建物0車位0,一層,9,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1140911,20.7,2,0,2,有,有,有,10500,507,,0.0,0,租金總額含水費；網路費；租賃建物部分範圍，且未計入共有部分面積；,RPPRMLKLNHLGFHD68CC,分租套房,有,1150420~1160419,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般轉租
安定區,租賃房屋,臺南市安定區蘇厝１７６之１號 三樓之３,0.0,,,,1150428,土地0建物0車位0,一層,9,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1140911,20.7,2,0,2,有,有,有,10500,507,,0.0,0,租金總額含水費；網路費；租賃建物部分範圍，且未計入共有部分面積；,RPQRMLKLNHLGFHD78CC,分租套房,有,1150420~1160419,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般轉租
安定區,租賃房屋,臺南市安定區蘇厝１７６之１號 三樓之５,0.0,,,,1150428,土地0建物0車位0,一層,9,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1140911,20.7,2,0,2,有,有,有,10500,507,,0.0,0,租金總額含水費；網路費；租賃建物部分範圍，且未計入共有部分面積；,RPRRMLKLNHLGFHD88CC,分租套房,有,1150420~1160419,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般轉租
安定區,租賃房屋,臺南市安定區蘇厝１７６之１號 三樓之５,0.0,,,,1150428,土地0建物0車位0,一層,9,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1140911,20.7,2,0,2,有,有,有,10500,507,,0.0,0,租金總額含水費；網路費；租賃建物部分範圍，且未計入共有部分面積；,RPSRMLKLNHLGFHD98CC,分租套房,有,1150420~1160419,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般轉租
安定區,租賃房屋,臺南市安定區蘇厝１７６之１號 五樓之８,0.0,,,,1150430,土地0建物0車位0,一層,9,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1140911,21.4,2,0,2,有,有,有,10000,467,,0.0,0,多人共同承租2；租金總額含水費；網路費；租賃建物部分範圍，且未計入共有部分面積；,RPTRMLKLNHLGFHD09CC,分租套房,有,1150429~1160504,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般轉租
